description,industry,level,size,line_code,value,status,Unit,Footnotes
Reason to innovate - replace goods or services being phased out: yes,"Petroleum, coal, chemical, & associated product",2,total,B1607.01,84,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Non-metallic mineral product,2,total,B1607.01,21,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Metal product,2,total,B1607.01,180,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Transport and industrial machinery & equipment,2,total,B1607.01,96,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Other machinery & equipment,2,total,B1607.01,87,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Other manufacturing,2,total,B1607.01,51,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Electricity, gas, water, & waste services",1,total,B1607.01,27,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - replace goods or services being phased out: yes,Construction,1,total,B1607.01,693,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Wholesale trade,1,total,B1607.01,645,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Machinery & equipment wholesaling,2,total,B1607.01,216,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Other wholesale trade,2,total,B1607.01,426,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Retail trade,1,total,B1607.01,1041,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Accommodation & food services,1,total,B1607.01,708,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Transport, postal, & warehousing",1,total,B1607.01,135,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Information media & telecommunications,1,total,B1607.01,99,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Publishing,2,total,B1607.01,42,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Motion picture,2,total,B1607.01,18,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Telecommunications,2,total,B1607.01,36,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Financial & insurance services,1,total,B1607.01,51,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Finance,2,total,B1607.01,24,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Insurance,2,total,B1607.01,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Auxiliary,2,total,B1607.01,24,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Rental, hiring, & real estate services",1,total,B1607.01,105,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Professional, scientific, & technical services",1,total,B1607.01,672,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Computer systems design,2,total,B1607.01,237,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Other professional scientific,2,total,B1607.01,435,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Administrative & support services,1,total,B1607.01,192,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Education & training,1,total,B1607.01,177,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Health care & social assistance,1,total,B1607.01,210,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Arts & recreation services,1,total,B1607.01,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Other services,1,total,B1607.01,186,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,total,0,total,B1607.01,6174,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,total,0,6–19 employees,B1607.02,14040,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: no,total,0,20–49 employees,B1607.02,4170,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: no,total,0,50–99 employees,B1607.02,1179,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: no,total,0,100+ employees,B1607.02,939,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: no,"Agriculture, forestry, & fishing",1,total,B1607.02,1311,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Agriculture,2,total,B1607.02,846,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Commercial fishing,2,total,B1607.02,21,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Forestry & logging,2,total,B1607.02,84,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Agriculture, forestry, & fishing support services",2,total,B1607.02,363,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Mining,1,total,B1607.02,48,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - replace goods or services being phased out: no,Manufacturing,1,total,B1607.02,2538,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Food, beverage, & tobacco",2,total,B1607.02,579,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Textile, clothing, footwear, & leather",2,total,B1607.02,96,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Wood & paper product,2,total,B1607.02,288,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Printing, publishing, & recorded media",2,total,B1607.02,87,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Petroleum, coal, chemical, & associated product",2,total,B1607.02,219,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Non-metallic mineral product,2,total,B1607.02,117,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Metal product,2,total,B1607.02,390,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Transport and industrial machinery & equipment,2,total,B1607.02,498,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Other machinery & equipment,2,total,B1607.02,81,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Other manufacturing,2,total,B1607.02,183,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Electricity, gas, water, & waste services",1,total,B1607.02,99,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - replace goods or services being phased out: no,Construction,1,total,B1607.02,3255,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Wholesale trade,1,total,B1607.02,1434,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Machinery & equipment wholesaling,2,total,B1607.02,429,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Other wholesale trade,2,total,B1607.02,1002,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Retail trade,1,total,B1607.02,1620,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Accommodation & food services,1,total,B1607.02,1782,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Transport, postal, & warehousing",1,total,B1607.02,648,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Information media & telecommunications,1,total,B1607.02,210,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Publishing,2,total,B1607.02,81,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Motion picture,2,total,B1607.02,75,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Telecommunications,2,total,B1607.02,51,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Financial & insurance services,1,total,B1607.02,402,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Finance,2,total,B1607.02,108,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Insurance,2,total,B1607.02,24,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Auxiliary,2,total,B1607.02,270,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Rental, hiring, & real estate services",1,total,B1607.02,498,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,"Professional, scientific, & technical services",1,total,B1607.02,2631,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Computer systems design,2,total,B1607.02,456,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Other professional scientific,2,total,B1607.02,2175,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Administrative & support services,1,total,B1607.02,1005,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Education & training,1,total,B1607.02,525,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Health care & social assistance,1,total,B1607.02,1494,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: no,Arts & recreation services,1,total,B1607.02,297,,Number of businesses,1 and 2 and 3 and 6
